t,Nu
0.0000,0.99999723
0.0002,1.00001766
0.0004,1.00025323
0.0005,1.00119570
0.0007,1.00356603
0.0009,1.00829065
0.0011,1.01650320
0.0013,1.02956821
0.0014,1.04911686
0.0016,1.07708410
0.0018,1.11571481
0.0020,1.16752184
0.0021,1.23516431
0.0023,1.32116851
0.0025,1.42762183
0.0027,1.55577412
0.0029,1.70566413
0.0030,1.87586581
0.0032,2.06343345
0.0034,2.26411440
0.0036,2.47263596
0.0038,2.68318902
0.0039,2.88997377
0.0041,3.08771789
0.0043,3.27211598
0.0045,3.44006783
0.0047,3.58971045
0.0048,3.72034305
0.0050,3.83216368
0.0052,3.92595657
0.0054,4.00291149
0.0056,4.06438760
0.0057,4.11175408
0.0059,4.14632316
0.0061,4.16930512
0.0063,4.18185445
0.0064,4.18504960
0.0066,4.18002519
0.0068,4.16792257
0.0070,4.14994169
0.0072,4.12730082
0.0073,4.10118598
0.0075,4.07272099
0.0077,4.04291927
0.0079,4.01263849
0.0081,3.98260129
0.0082,3.95337289
0.0084,3.92538221
0.0086,3.89892483
0.0088,3.87417802
0.0090,3.85122216
0.0091,3.83006353
0.0093,3.81065311
0.0095,3.79290019
0.0097,3.77668379
0.0098,3.76186569
0.0100,3.74830122
0.0102,3.73584486
0.0104,3.72436164
0.0106,3.71372613
0.0107,3.70383383
0.0109,3.69459950
0.0111,3.68595335
0.0113,3.67784071
0.0115,3.67023132
0.0116,3.66310471
0.0118,3.65645625
0.0120,3.65029987
0.0122,3.64465360
0.0124,3.63953587
0.0125,3.63498058
0.0127,3.63102181
0.0129,3.62769042
0.0131,3.62501733
0.0133,3.62303183
0.0134,3.62175975
0.0136,3.62122212
0.0138,3.62143418
0.0140,3.62240763
0.0141,3.62415006
0.0143,3.62665243
0.0145,3.62990788
0.0147,3.63389859
0.0149,3.63859685
0.0150,3.64397087
0.0152,3.64998486
0.0154,3.65659397
0.0156,3.66374648
0.0158,3.67138715
0.0159,3.67945272
0.0161,3.68787530
0.0163,3.69658210
0.0165,3.70549772
0.0167,3.71454299
0.0168,3.72364167
0.0170,3.73271314
0.0172,3.74167915
0.0174,3.75046679
0.0175,3.75900308
0.0177,3.76722354
0.0179,3.77507059
0.0181,3.78249333
0.0183,3.78945321
0.0184,3.79591499
0.0186,3.80185672
0.0188,3.80726456
0.0190,3.81213749
0.0192,3.81647892
0.0193,3.82030363
0.0195,3.82363015
0.0197,3.82648374
0.0199,3.82889419
0.0201,3.83089916
0.0202,3.83253283
0.0204,3.83383355
0.0206,3.83484104
0.0208,3.83559195
0.0210,3.83612284
0.0211,3.83646972
0.0213,3.83666734
0.0215,3.83674599
0.0217,3.83673307
0.0218,3.83665348
0.0220,3.83652923
0.0222,3.83637973
0.0224,3.83622155
0.0226,3.83606899
0.0227,3.83593381
0.0229,3.83582585
0.0231,3.83575292
0.0233,3.83572122
0.0235,3.83573551
0.0236,3.83579927
0.0238,3.83591499
0.0240,3.83608434
0.0242,3.83630829
