Problem,Mesh,GPUs,total DOF (M),total DOF/GPU (M),ms/iter,Speedup,Eff.
3D cavity,h_136,1,53.7,53.7,1292±3,1.00,1.00
3D cavity,h_136,2,53.7,26.8,1052±26,1.23,0.61
3D cavity,h_136,4,53.7,13.4,692±8,1.87,0.47
3D cavity,h_136,8,53.7,6.7,534±6,2.42,0.30
2D RBC,h_1448,1,54.5,54.5,1188±2,1.00,1.00
2D RBC,h_1448,2,54.5,27.3,1033±58,1.15,0.58
2D RBC,h_1448,4,54.5,13.6,907±30,1.31,0.33
2D RBC,h_1448,8,54.5,6.8,840±13,1.41,0.18
2D CHT,h_2040,1,54.1,54.1,1046±3,1.00,1.00
2D CHT,h_2040,2,54.1,27.1,914±37,1.14,0.57
2D CHT,h_2040,4,54.1,13.5,875±45,1.20,0.30
2D CHT,h_2040,8,54.1,6.8,799±26,1.31,0.16
