Problem,Mesh,GPUs,total DOF (M),total DOF/GPU (M),ms/iter,Speedup,Eff.
3D cavity,h_144,1,63.7,63.7,1404±0,1.00,1.00
3D cavity,h_144,2,63.7,31.8,1218±5,1.15,0.58
3D cavity,h_144,4,63.7,15.9,769±10,1.83,0.46
3D cavity,h_144,8,63.7,8.0,576±7,2.44,0.30
2D RBC,h_1980,2,102.0,51.0,1887±105,1.00,1.00
2D RBC,h_1980,4,102.0,25.5,1206±10,1.56,0.78
2D RBC,h_1980,8,102.0,12.7,1106±70,1.71,0.43
2D CHT,h_2800,2,102.0,51.0,1563±66,1.00,1.00
2D CHT,h_2800,4,102.0,25.5,1177±114,1.33,0.66
2D CHT,h_2800,8,102.0,12.7,1057±284,1.48,0.37
